Namecoin Mining Distribution
Block: 471424
19 Sep 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%  16,290,347,768      100.00%               0           

              BTC.COM-BTC       21.77%   3,546,121,108        0.00%               0                     83.33%
               F2Pool-BTC       16.77%   2,729,201,777        0.00%               0                     79.45%
               Poolin-BTC       15.48%   2,522,479,804        0.00%               0                     80.71%
               ViaBTC-BTC        9.51%   1,549,805,177        0.00%               0                     81.64%
                Slush-BTC        9.37%   1,527,146,524        0.00%               0                     79.90%
              AntPool-BTC        8.41%   1,368,218,704        0.00%               0                     83.06%
                Huobi-BTC        7.76%   1,265,333,596        0.00%               0                     84.62%
              BTC.TOP-BTC        6.43%   1,046,617,207        0.00%               0                     82.14%
               1THash-BTC        1.79%     292,341,717        0.00%               0                     79.49%
              BTC.TOP-BCH        0.64%     104,471,369        0.00%               0                    100.00%
              Unknown-BCH        0.60%      98,187,494        0.00%               0                    100.00%
               ViaBTC-BCH        0.37%      60,423,073        0.00%               0                    100.00%
               okpool-BCH        0.37%      60,423,073        0.00%               0                    100.00%
              Unknown-BTC        0.28%      45,000,052        0.00%               0                    100.00%
               Poolin-BCH        0.18%      29,577,032        0.00%               0                    100.00%
               okpool-BTC        0.05%       7,552,884        0.00%               0                    100.00%
                Huobi-BCH        0.05%       7,552,884        0.00%               0                    100.00%
              Poolin-1808        0.05%       7,552,884        0.00%               0                    100.00%
          Prohashing-1808        0.05%       7,552,884        0.00%               0                    100.00%
               ViaBTC-BSV        0.05%       7,552,884        0.00%               0                    100.00%
           Huobi.pool-BTC        0.05%       7,235,631        0.00%               0                    100.00%
